,Company_Name,Design_Role,Experience,Functional_Area,Industry,Job_Application,Job_Link,Job_Post,Job_Title,Job_View,Key_Skills,Location,Num_Openings,Role_Category,Salary,SalaryI,Skill_Experience
454,Career Makers,Data Analyst,5 - 10 yrs,Analytics & Business Intelligence,IT-Software  /    Software Services,56,https://www.naukri.com/job-listings-Machine-Learning-Scientist-Python-java-c-Career-Makers-Bengaluru-5-to-10-years-200917000638?src=jobsearchDesk&sid=15082436674579&xp=11,Posted 26 days ago,Machine Learning Scientist - Python/java/c++,360,"Deep Learning,Java,C++,Python,Machine Learning,SQL,Software Engineering,Linux,Statistics,Data Analysis ",Bengaluru,,Analytics & BI,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above
455,Career Makers,Data Analyst,4 - 9 yrs,Analytics & Business Intelligence,IT-Software  /    Software Services,112,https://www.naukri.com/job-listings-Machine-Learning-Scientist-R-python-Career-Makers-Bengaluru-4-to-9-years-200917000637?src=jobsearchDesk&sid=15082436674579&xp=12,Posted 26 days ago,Machine Learning Scientist - R/python,475,"R,Python,Machine Learning,Java,C++,Data Mining,MATLAB,Predictive Modeling,Statistics,Perl ",Bengaluru,,Analytics & BI,Not Disclosed by Recruiter,Not Disclosed by Recruiter,
456,Career Makers,Data Analyst,3 - 8 yrs,Analytics & Business Intelligence,IT-Software  /    Software Services,90,https://www.naukri.com/job-listings-Research-Scientist-Machine-Learning-artificial-Intelligence-Career-Makers-Bengaluru-3-to-8-years-190917006957?src=jobsearchDesk&sid=15082436674579&xp=13,Posted 27 days ago,Research Scientist - Machine Learning/artificial Intelligence,766,"C++,Artificial Intelligence,Java,Data Structures,Machine Learning,Python,Signal Processing,Computer Science ",Bengaluru,,Analytics & BI,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above
457,Confidential,Recruitment Executive,1 - 2 yrs,"HR   ,     Recruitment   ,     Administration   ,     IR",IT-Software  /    Software Services,29,https://www.naukri.com/job-listings-Executive-Talent-Acquisiton-Confidential-Bengaluru-1-to-2-years-011116900899?src=jobsearchDesk&sid=15082436674579&xp=14,Posted 11 days ago,Executive- Talent Acquisiton,131,"Talent Acquisiton,Executive,recruitment,database management,client interaction ",Bengaluru,,HR/ Recruitment / IR,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Must be from the IT Industry with an experience of about 1-2 years.Awareness and knowledge in latest technologies is an added advantageShould have experience on accomplishing organizational goals by accepting ownership for accomplishing new and different requests; exploring opportunities to add value to job accomplishments.Significant achievement in selection and recruitment of IT Technical resources.
458,RSWM LTD,Production Manager,2 - 5 yrs,"Production   ,     Manufacturing   ,     Maintenance",Textiles  /    Garments  /    Accessories,279,https://www.naukri.com/job-listings-Production-Executive-Officer-In-Charge-textile-Engineers-Only-RSWM-LTD-Delhi-NCR-Sector-1-Noida-2-to-5-years-131017006453?src=jobsearchDesk&sid=15082436674579&xp=15,Posted Today,Production Executive/ Officer/ In Charge (textile Engineers Only),509,"Textile Chemistry,Production Executive,Production Officer,Production Supervisor,Production Incharge ",Delhi NCR(Sector-1 Noida),Openings: 1,Production/Manufacturing/Maintenance,"INR  4,00,000 - 5,00,000 P.A. As per industry norms","4,00,000 - 5,00,000 P.A.","We need a person who have a good knowledge of 'Poly Knit Fabric' with 2-5 yrs. of experience. As this requirement is for new set up, Initially he will assist the CEO by making the different analysis reports & complying the data as per requirement. Initially candidate would be deputed at Head Office, Noida for 4-5 months. Then he'll will take care of Production (Poly Knit Fabric) as production Executive at Unit location (Rajasthan, Banswara)Note - Diploma/ B.Tech (Textile Chemistry preferred)."
459,Ascent Consulting Services Pvt Ltd,Accounts Executive/Accountant,1 - 3 yrs,"Accounts   ,     Finance   ,     Tax   ,     Company Secretary   ,     Audit",KPO  /    Research  /    Analytics,657,https://www.naukri.com/job-listings-Accounts-Executive-Ascent-Consulting-Services-Pvt-Ltd-Bengaluru-1-to-3-years-270917000845?src=jobsearchDesk&sid=15082436674579&xp=16,Posted 20 days ago,Accounts Executive,2000+,"Accounting,Accounts Payable,Invoice Processing,Invoice Verification,General Ledger,Invoicing,MS Office,Banking,Cost Analysis,Data Entry ",Bengaluru,,Accounts,"INR  2,00,000 - 3,00,000 P.A.","2,00,000 - 3,00,000 P.A.",Please refer to the Job description above
460,A to Z Retail Ltd.,Management Information Systems(MIS)-Manager,2 - 7 yrs,"IT Software - Systems   ,     EDP   ,     MIS",Retail  /    Wholesale,500,https://www.naukri.com/job-listings-MIS-Executive-Manager-A-to-Z-Retail-Ltd-Mumbai-2-to-7-years-250917902078?src=jobsearchDesk&sid=15082436674579&xp=17,Posted 22 days ago,MIS Executive / Manager,1500+,"Budgeting,Forecasting,Variance Analysis,Finance,MIS,Headcount,Business Operations,Reporting,Resource Management,Data analysis,MIS reporting,VBA,Macros,C,C++,VC++ ",Mumbai,,Admin/Maintenance/Security/Datawarehousing,Not Disclosed by Recruiter,Not Disclosed by Recruiter,"Desired profile of the candidate:Qualification:Minimum of 3 years of relevant experience in Data analysis & MIS reporting	Excellent visual, verbal and written communications skills	Ability to translate technical, complex and varied information into audience-resonating copy based on a broad understanding of the Information Technology business and portfolio offerings	Excellent Knowledge & Hands on experience on the below:	Advance MS Excel along with Macros & VBA	MS PowerPoint	MS VisioGood to Have:	Exposure in any one of the programming language like C, C++ , VC++ etc is desirable .	Ability to effectively absorb information from various sources, then analyze and examine data in detail, and draw appropriate conclusions.	A highly collaborative team player	Function as a motivated, self-starting, and independent individual	Ability to interact at all levels of the organization to meet milestonesDemonstrated integrity within a professional environmentVB front end coding skillsMS Access / MS SQL Database-	Schooling in English medium from a convent school is a must.Qualification:Graduate Post + Management Degree."
461,Million Minds Management Services,"Permanent Job, Full Time",1 - 3 yrs,Other,NGO  /    Social Services  /    Regulators  /    Industry Associations,38,https://www.naukri.com/job-listings-MIS-Executive-ddugky-Million-Minds-Management-Services-Alwar-1-to-3-years-250917005862?src=jobsearchDesk&sid=15082436674579&xp=18,Posted 22 days ago,MIS Executive-ddugky,363,"Excel,Typing,MIS Reporting,Report Generation,MS Office,Data Collection,Written Communication,Presentation Skills,Standard Operating Procedures,Skill Development,DDUGKY,PMKVY,NSDC ",Alwar,,Other,"INR  1,00,000 - 3,00,000 P.A.","1,00,000 - 3,00,000 P.A.",Please refer to the Job description above
462,Ison Bpo India Pvt Ltd,Associate/Senior Associate -(Technical),1 - 5 yrs,"ITES   ,     BPO   ,     KPO   ,     LPO   ,     Customer Service   ,     Operations",BPO  /    Call Centre  /    ITES,234,https://www.naukri.com/job-listings-MIS-Executive-Walk-in-ISON-MNC-BPO-Ison-Bpo-India-Pvt-Ltd-Chennai-Perungudi-1-to-5-years-250917005528?src=jobsearchDesk&sid=15082436674579&xp=19,Posted 22 days ago,MIS Executive Walk in @ ISON MNC BPO,1500+,"call center operations,mis,wfm,bpo,ms access,data management,monthly reports ",Chennai(Perungudi),Openings: 2,Voice,"INR  1,00,000 - 2,00,000 P.A.","1,00,000 - 2,00,000 P.A.",Please refer to the Job description above
463,Strides Shasun Limited,Clinical Research Associate/Scientist,2 - 5 yrs,"Medical   ,     Healthcare   ,     R&D   ,     Pharmaceuticals   ,     Biotechnology",Pharma  /    Biotech  /    Clinical Research,278,https://www.naukri.com/job-listings-Executive-Sr-Executive-ICSR-Strides-Shasun-Limited-Bengaluru-2-to-5-years-230917900599?src=jobsearchDesk&sid=15082436674579&xp=20,Posted 24 days ago,Executive / Sr. Executive - ICSR,616,"senior Executive,Executive,ICSR,Pharmacovigilance,Pharmacovigilance regulation,data entry ",Bengaluru,,R&D,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Exp. - 2+  YearsEducation - Any Science /Pharma Graduate
464,Adecco India Private Limited,Associate/Senior Associate -(NonTechnical),1 - 3 yrs,"ITES   ,     BPO   ,     KPO   ,     LPO   ,     Customer Service   ,     Operations",Courier  /    Transportation  /    Freight  /    Warehousing,11,https://www.naukri.com/job-listings-MIS-Executive-reconciliation-Andheri-East-Adecco-India-Private-Limited-Mumbai-1-to-3-years-220517001675?src=jobsearchDesk&sid=15082436674579&xp=22,Posted Few Hours Ago,MIS Executive (reconciliation) - Andheri East,3000+,"Finance,Financial Reconciliation,Reporting,Data Management,Back office,Reconciliation,MIS Executive ",Mumbai,,Back Office/Web/Transaction Processing,Not Disclosed by Recruiter,Not Disclosed by Recruiter,
465,SDP & Associates,Accounts Executive/Accountant,1 - 6 yrs,"Accounts   ,     Finance   ,     Tax   ,     Company Secretary   ,     Audit",Accounting  /    Finance,59,https://www.naukri.com/job-listings-Urgent-Opportunity-for-Accounts-Executive-female-SDP-Associates-Kolkata-1-to-6-years-210917001006?src=jobsearchDesk&sid=15082436674579&xp=23,Posted 26 days ago,Urgent Opportunity for Accounts Executive (female),548,"accounting,brs,data entry operator,bank reconciliation statement,accounts executive,account assistant,accounts,assistant,accountant,MIS Executive,Tally Accountant,tally accounts executive,tally accounts assistant ",Kolkata,Openings: 5,Accounts,"INR  50,000 - 1,25,000 P.A. bonus + leave encashments","50,000 - 1,25,000 P.A.",Please refer to the Job description above
466,Talentedge Education Ventures Pvt Ltd.,Accounts Executive/Accountant,1 - 2 yrs,"Accounts   ,     Finance   ,     Tax   ,     Company Secretary   ,     Audit",Education  /    Teaching  /    Training,230,https://www.naukri.com/job-listings-MIS-Officer-Talentedge-Education-Ventures-Pvt-Ltd-Pune-1-to-2-years-200917006720?src=jobsearchDesk&sid=15082436674579&xp=24,Posted 27 days ago,MIS Officer,689,"Excel,Product Sales,Region,MIS Reporting,Data Analysis,Database Maintenance,Follow Ups,Written Communication,Communication Skills ",Pune,,Accounts,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above
467,YLG India Pvt Ltd,Stenographer/Data Entry Operator,1 - 2 yrs,"Executive Assistant   ,     Front Office   ,     Data Entry",Wellness  /    Fitness  /    Sports  /    Beauty,362,https://www.naukri.com/job-listings-MIS-Executive-only-Female-Applicants-YLG-India-Pvt-Ltd-Bengaluru-1-to-2-years-190917005455?src=jobsearchDesk&sid=15082436674579&xp=25,Posted 28 days ago,MIS Executive (only Female Applicants),1500+,"Management Reporting,MIS,mis executive,mis excel,mis reporting,Excel,ms excel,Data Entry,vlookup,pivot table ",Bengaluru,,Other,Not Disclosed by Recruiter,Not Disclosed by Recruiter,"Good communication with any Bachelors Degree.Proven work experience with MS Office and data programs.Solid computer skills, including MS Office, Excel.Should know how to structure, analyse and present the data"
468,Shriram Value Services Private Limited,Associate/Senior Associate -(Technical),1 - 6 yrs,"ITES   ,     BPO   ,     KPO   ,     LPO   ,     Customer Service   ,     Operations",BPO  /    Call Centre  /    ITES,50,https://www.naukri.com/job-listings-WFM-Executive-Shriram-Value-Services-Private-Limited-Chennai-Tiruvanmiyur-1-to-6-years-180917000226?src=jobsearchDesk&sid=15082436674579&xp=26,Posted 29 days ago,WFM Executive,645,"Excel,Inbound,Outbound,Aspect,Dialer Management,MS Access,Data Validation,WFM Executive,work force management executive ",Chennai(Tiruvanmiyur),Openings: 2,Voice,"INR  1,25,000 - 2,75,000 P.A. Bonus+incentive","1,25,000 - 2,75,000 P.A.",Please refer to the Job description above
469,Freight Systems India Pvt Ltd,Financial Analyst,3 - 8 yrs,"Accounts   ,     Finance   ,     Tax   ,     Company Secretary   ,     Audit",Courier  /    Transportation  /    Freight  /    Warehousing,1500+,https://www.naukri.com/job-listings-Executive-Senior-Executive-MIS-financial-Reporting-Freight-Systems-India-Pvt-Ltd-Delhi-NCR-Okhla-Vihar-1-3-to-8-years-010917002105?src=jobsearchDesk&sid=15082436674579&xp=27,Posted 5 days ago,Executive/ Senior Executive - MIS (financial Reporting),5500+,"finance,financial reporting,profit,loss,balance sheet,mis,strong analytical skills,verbal communication,data analysis,advanced excel,macros ","Delhi NCR(Okhla Vihar, Okhla)",Openings: 2,Finance/Audit,Not Disclosed by Recruiter,Not Disclosed by Recruiter,1. Very Good analytical skills.  2. Advanced Excel  3. Good Communication Skills and expertise in MIS Excel
470,Innominds Software (P) Limited,Technical Architect,10 - 20 yrs,"IT Software - Application Programming   ,     Maintenance",IT-Software  /    Software Services,860,https://www.naukri.com/job-listings-Test-Automation-Architect-Innominds-Software-P-Limited-Hyderabad-10-to-20-years-300817004123?src=jobsearchDesk&sid=15082436674579&xp=28,Posted Few Hours Ago,Test Automation Architect,2000+,"test automation,selenium,jmeter,appium,Automation Test Engineer,api testing ",Hyderabad,,Programming & Design,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above
471,Alpha Pharma Healthcare India Pvt Ltd,Microbiologist,3 - 5 yrs,"Medical   ,     Healthcare   ,     R&D   ,     Pharmaceuticals   ,     Biotechnology",Pharma  /    Biotech  /    Clinical Research,609,https://www.naukri.com/job-listings-Q-c-executive-Alpha-Pharma-Healthcare-India-Pvt-Ltd-Mumbai-Suburbs-3-to-5-years-280817004051?src=jobsearchDesk&sid=15082436674579&xp=29,Posted Few Hours Ago,Q.c.executive,1500+,"Culturing,Environmental Monitoring,Quality Control,Autoclave,Media Preparation,MLT,PH METER,Packing Material,Sop Preparation ",Mumbai Suburbs,,R&D,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above
472,Harman Finochem Ltd,Law Officer,3 - 6 yrs,"Legal   ,     Regulatory   ,     Intellectual Property",Pharma  /    Biotech  /    Clinical Research,62,https://www.naukri.com/job-listings-Sr-Executive-Exe-IPR-Formulation-Leading-Pharma-aurangabad-Harman-Finochem-Ltd-Aurangabad-3-to-6-years-260917001305?src=jobsearchDesk&sid=15082436674579&xp=30,Posted Today,Sr. Executive / Exe  IPR Formulation- Leading Pharma,436,"ipr,intellectual property management,patent research analyst,scifinder,review patents,drafting patents,non infringement of ipr,non infringement of patent,review of patents,review of ipr,patent assessment report ",Aurangabad,Openings: 1,Other,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Candidates should be working in the patent department of the pharmaceutical industry - Generics for US/EU/CA/AU market.
473,GurukulOnline Learning Solutions Pvt Ltd,Direct Marketing Executive,1 - 2 yrs,"Marketing   ,     Advertising   ,     MR   ,     PR   ,     Media Planning",IT-Software  /    Software Services,111,https://www.naukri.com/job-listings-Digital-Marketing-Executive-GurukulOnline-Learning-Solutions-Pvt-Ltd-Mumbai-Mumbai-Suburbs-1-to-2-years-210817007566?src=jobsearchDesk&sid=15082436674579&xp=32,Posted Few Hours Ago,Digital Marketing Executive,1336,"Digital Marketing,SEO,Google Analytics,Online Marketing,Google AdWords,Email Marketing,PPC,Social Media,Marketing Campaigns,Media Strategy,online digital marketing ","Mumbai,    Mumbai Suburbs",,Marketing,"INR  2,50,000 - 3,00,000 P.A.","2,50,000 - 3,00,000 P.A.",Please refer to the Job description above
474,Alpha Pharma Healthcare Pvt Ltd,Formulation Scientist,3 - 8 yrs,"Engineering Design   ,     R&D",Pharma  /    Biotech  /    Clinical Research,2000+,https://www.naukri.com/job-listings-Executive-sr-Executive-Formulation-Research-Development-Alpha-Pharma-Healthcare-Pvt-Ltd-Navi-Mumbai-3-to-8-years-191216000263?src=jobsearchDesk&sid=15082436674579&xp=33,Posted Few Hours Ago,Executive/sr. Executive - Formulation Research & Development,4000+,"Formulation Development,Research,Parenteral,Excipients,Packing Material ",Navi Mumbai,,R&D,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above
475,Careernet Technologies Pvt Ltd,Technical Architect,8 - 13 yrs,"IT Software - Application Programming   ,     Maintenance",IT-Software  /    Software Services,530,https://www.naukri.com/job-listings-J2EE-AWS-Architect-Openings-Product-startup-Client-Hyderabad-Careernet-Technologies-Pvt-Ltd-Hyderabad-8-to-13-years-180517003316?src=jobsearchDesk&sid=15082436674579&xp=34,Posted Today,J2EE + AWS Architect Openings @ Product (startup) Client - Hyderabad,7500+,"AWS,Java,Spring,Architect,Hibernate,J2EE ",Hyderabad,,Programming & Design,Not Disclosed by Recruiter,Not Disclosed by Recruiter,If you are interested please forward your profile to kiran.kumar@careernet.co.in along with Below details asap:Current CTC (Fixed / Variable):Expected CTC (Fixed):Notice Period:Can you join within 30 Days?Total Exp in Java / J2ee :Total Exp in Architect: Total Exp in AWS:Are you available for FTF round on any weekday:Any reason looking for a change from your current company?Do you have any Offers in Hands?Any reason relocate to Hyderabad?
476,digikrit - Startup,Technical Architect,1 - 2 yrs,"IT Software - DBA   ,     Datawarehousing",Internet  /    Ecommerce,Less than 10,https://www.naukri.com/job-listings-Information-Architect-digikrit-Startup-Bengaluru-1-to-2-years-171017901470?src=jobsearchDesk&sid=15082436674579&xp=35,Posted Just Now,Information Architect,Less than 10,"Data Architecture,Data Warehousing,Data Modeling,Business Intelligence,Data Analysis,Analytics,Information Management,Use Cases,Information Architecture,Web Technologies ",Bengaluru,,Programming & Design,Not Disclosed by Recruiter,Not Disclosed by Recruiter,
477,Macquarie Global Services Pvt. Ltd.,Data Analyst,4 - 6 yrs,Analytics & Business Intelligence,Banking  /    Financial Services  /    Broking,Less than 10,https://www.naukri.com/job-listings-Executive-rmg-Credit-Analytics-Macquarie-Global-Services-Pvt-Ltd-Gurugram-4-to-6-years-171017900505?src=jobsearchDesk&sid=15082436674579&xp=36,Posted Few Hours Ago,Executive - (rmg) Credit Analytics,13,"SQL,Data Manipulation,Alteryx,Excel,Data Analytics,Risk Management,Data Quality,Tableau,R,Credit Risk,Credit Analytics ",Gurugram,,Analytics & BI,Not Disclosed by Recruiter,Not Disclosed by Recruiter,"We want to hear from you if you have:Minimum Bachelor's degree qualification in a quantitative and problem solving discipline with strong academic performance.Minimum 4+ years experience within an analytical function, ideally in credit risk, with ETL and data visualisation experienceSolid analytical, problem solving background, working with transactional level data and large datasetsStrong knowledge of Excel and SQL with a good working knowledge of Word, PowerPoint and AccessExperience with data visualisation technologies and ETL technologies including Tableau and Alteryx/SASExperience with Python/R is not required but may be usefulAbility to work efficiently and effectively with senior stakeholders within a matrix environmentExcellent written and verbal communication skills, and the ability to effectively tailor communications to a diverse range of business and technical stakeholder groupsAvailability to work flexible hours to cater for interactions with stakeholders in different time zonesWillingness to travel overseas"
